block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
15,cube0,1.619444,2915,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,236.950562,426511,0.239141,0.175795,0.063346,0.000000,0.000000,0.395442,0.000000,0.651555,0.051446,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,236.686111,426035,0.239141,0.175795,0.063346,0.000000,0.000000,0.394079,0.000000,0.657794,0.063286,
16,cube0,2.067222,3721,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,232.538330,418569,0.239141,0.175795,0.063346,0.000000,0.000000,0.382470,0.000000,0.632513,0.063253,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,232.615555,418708,0.239141,0.175795,0.063346,0.000000,0.000000,0.383387,0.000000,0.641053,0.052468,
17,cube0,5.380556,9685,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,234.544449,422180,0.239141,0.175795,0.063346,0.000000,0.000000,0.408967,0.000000,0.658209,0.049589,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,234.624451,422324,0.239141,0.175795,0.063346,0.000000,0.000000,0.401654,0.000000,0.671181,0.064527,
18,cube0,1.838333,3309,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,234.692215,422446,0.239141,0.175795,0.063346,0.000000,0.000000,0.381654,0.000000,0.630217,0.065074,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,234.871109,422768,0.239141,0.175795,0.063346,0.000000,0.000000,0.384069,0.000000,0.649263,0.054341,
19,cube0,1.870556,3367,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,236.699448,426059,0.239141,0.175795,0.063346,0.000000,0.000000,0.390529,0.000000,0.648536,0.064442,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,236.858337,426345,0.239141,0.175795,0.063346,0.000000,0.000000,0.392123,0.000000,0.640225,0.053335,
