block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.957230,421123,0.003543,29.901966,31.212395,0.014172,1353,0.819447,9,0.004232,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
9,cube0,1.547222,2785,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
9,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.571671,424029,0.003543,29.901966,31.211948,0.014172,1353,0.832016,9,0.003662,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
9,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.814438,424466,0.003543,29.901966,31.211948,0.014172,1353,0.829013,9,0.003668,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
10,cube0,5.277778,9500,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
10,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.296661,419934,0.003543,29.901966,31.211506,0.014172,1353,0.812571,9,0.003573,8809.625000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
10,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.412216,420142,0.003543,29.901966,31.211948,0.014172,1353,0.792679,9,0.003720,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
11,cube0,4.110556,7399,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.103882,430387,0.003543,29.901966,31.211948,0.014172,1353,0.842247,9,0.003775,8809.750000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.457779,431024,0.003543,29.901966,31.212395,0.014172,1353,0.832792,9,0.003815,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
