M,N,K,time_us,Tflops,utilization_ratio
3464,5816,5918,8286.279297,14.388571342890375,11.52422
7361,7719,9438,42784.941406,12.533919183229184,9.991195
2558,4994,6571,5948.679688,14.111070471878463,11.267125000000004
8665,6151,2790,10612.120117,14.012523059533326,11.20885
5055,9753,3621,12887.419922,13.852301298124798,11.05887
4447,8256,7591,17438.419922,15.981909746329597,12.708339999999998
2583,5198,1025,1182.420044,11.638922157852054,9.521644999999998
1592,9196,2917,3222.199951,13.2533591935369,10.667900000000001
8861,4385,3502,9829.280273,13.84352716482968,11.066714999999997
4736,3658,2345,3026.099854,13.425021420327527,10.714010000000004
6379,7728,1951,7659.359863,12.5569599852081,10.001714999999997
2744,4171,4343,3678.439941,13.512958925322845,10.825225000000001
594,2084,735,116.779999,7.791176295523002,6.533740000000002
3751,4897,6833,9063.040039,13.84888121545239,11.113924999999995
8179,4289,6335,15656.919922,14.193730120107336,11.32038
9908,7486,8153,43209.683594,13.994976606307985,11.141675
6277,6868,2250,7104.959961,13.652220636349341,10.951279999999999
6064,3928,7124,12163.700195,13.95047114674467,11.133174999999998
3228,5652,8606,11322.879883,13.86692353521631,11.105044999999999
2651,4689,6655,5875.52002,14.079645165603573,11.242175000000001
8954,9325,5869,35254.960938,13.89984003419519,11.033670000000003
6594,6850,1586,5473.439941,13.08827285440383,10.524535000000002
3842,6027,7724,12959.900391,13.800637660780614,11.066204999999998
4073,7252,5800,11723.299805,14.61336821966569,11.648955000000004
5343,2139,1133,1074.459961,12.051348129295253,9.648045000000002
887,7091,6243,3001.619873,13.081837438580951,10.527715
3288,3985,6563,6310.300293,13.627384569224334,10.94008
6629,4731,3333,7469.560547,13.99397935250447,11.178939999999997
4598,4676,7079,10660.080078,14.277590269336436,11.397700000000002
763,7551,9401,4027.500244,13.448302999780028,10.732679999999997
7558,5960,9266,29554.738281,14.12271923748794,11.270460000000002
3713,4907,6656,6750.759766,17.963942948580996,14.398830000000004
8672,4899,6142,17998.880859,14.497429935790876,11.551105000000002
8334,5800,4629,15504.939453,14.431072077273205,11.533870000000004
4146,2937,4544,3304.560059,16.7439499661398,13.370830000000005
4074,3466,9270,9432.019531,13.877927865796316,11.09722
