instr,addr,pipe,call_count,cycles,running_time(us),detail
MOVK,0x1168dc8c,SCALAR,32,32,0.020000,"XD:X8=0x10001,IMM:0x1,UIMM:0x1,"
INSERT_XD,0x1168dc4c,SCALAR,32,32,0.020000,"XD:X2=0x1c7624,IMM:0x1,POSITION:0x2,EXT:0,"
ADD,0x1168dc48,SCALAR,32,32,0.020000,"dtype:S64,XD:X2=0x1c7620,XN:X4=0x1c7620,XM:X2=0,"
ZEROEXT,0x1168dc24,SCALAR,32,32,0.020000,"dtype:U32,XD:X0=0,XN:X0=0,"
SIGNEXT,0x1168dc44,SCALAR,32,32,0.020000,"dtype:S32,XD:X0=0x2,XN:X0=0x2,"
SUB_IMM,0x1168dc40,SCALAR,32,32,0.020000,"dtype:S64,XD:X4=0x1c7620,XN:X30=0x1c7c20,IMM:0x600,"
SUB_IMM,0x1168dc98,SCALAR,32,32,0.020000,"dtype:S64,XD:X3=0x1c7880,XN:X30=0x1c7c20,IMM:0x3a0,"
MUL_IMM,0x1168dc3c,SCALAR,32,32,0.020000,"dtype:S64,XD:X2=0,XN:X1=0,IMM:0x60,"
ADD,0x1168dc30,SCALAR,32,32,0.020000,"dtype:S64,XD:X0=0x1c7560,XN:X10=0x1c7560,XM:X0=0,"
MOV_XD_SPR,0x1168dca0,SCALAR,32,32,0.020000,"XD:X0=0x100000000000000,SPR:CTRL,"
CMP,0x1168d03c,SCALAR,32,32,0.020000,"dtype:S64,XN:X4=0,XM:X6=0x1f,cond_op:EQ,"
SUB,0x1168d040,SCALAR,32,32,0.020000,"dtype:S64,XD:X5=0x20,XN:X3=0x400,XM:X2=0x3e0,"
INSERT_XD,0x1168dca4,SCALAR,32,32,0.020000,"XD:X0=0,IMM:0,POSITION:0x38,EXT:0,"
SUB_IMM,0x1168dcb0,SCALAR,32,32,0.020000,"dtype:S64,XD:X1=0x1c7878,XN:X30=0x1c7c20,IMM:0x3a8,"
MOV_XD_XN,0x1168d024,SCALAR,32,32,0.020000,"dtype:S64,XD:X0=0,XN:X14=0,"
SHL,0x1168dc28,SCALAR,32,32,0.020000,"dtype:B64,XD:X0=0,DATA_SRC:IMM,IMM:0x2,"
MIN,0x1168d028,SCALAR,32,32,0.020000,"dtype:S64,XD:X16=0x200,XN:X4=0x200,XM:X2=0x200,"
SIGNEXT,0x1168dcbc,SCALAR,32,32,0.020000,"dtype:S32,XD:X0=0,XN:X0=0,"
ZEROEXT,0x1168cf8c,SCALAR,32,32,0.020000,"dtype:U32,XD:X2=0x27f,XN:X2=0x27f,"
SIGNEXT,0x1168cff0,SCALAR,32,32,0.020000,"dtype:S32,XD:X0=0x2,XN:X1=0x2,"
MOVK,0x1168ddcc,SCALAR,32,32,0.020000,"XD:X3=0xfffffc66,IMM:0xffff,UIMM:0x1,"
MOVK,0x1168ddd0,SCALAR,32,32,0.020000,"XD:X3=0xfffffffffc66,IMM:0xffff,UIMM:0x2,"
INSERT_XD,0x1168dce0,SCALAR,32,32,0.020000,"XD:X2=0x1c7624,IMM:0x1,POSITION:0x2,EXT:0,"
SIGNEXT,0x1168cfe4,SCALAR,32,32,0.020000,"dtype:S32,XD:X0=0,XN:X0=0,"
LD_XD_XN_IMM,0x1168bb0c,SCALAR,5,32,0.010000,"dtype:B8,XD:X2=0,XN:X1=0x1c7933,IMM:0,"
OR,0x1168cf80,SCALAR,32,32,0.020000,"dtype:B64,XD:X3=0x800080400010001,XN:X6=0x800000000000000,XM:X3=0x80400010001,"
SUB_IMM,0x1168d064,SCALAR,32,32,0.020000,"dtype:S64,XD:X3=0x1c7888,XN:X30=0x1c7c20,IMM:0x398,"
ADD,0x1168cfd8,SCALAR,32,32,0.020000,"dtype:S64,XD:X1=0x1c7560,XN:X10=0x1c7560,XM:X1=0,"
SHL,0x1168cfd0,SCALAR,32,32,0.020000,"dtype:B64,XD:X1=0,DATA_SRC:IMM,IMM:0x2,"
ADD,0x1168cfcc,SCALAR,32,32,0.020000,"dtype:S64,XD:X0=0x1c7560,XN:X10=0x1c7560,XM:X0=0,"
ADD_IMM,0x1168cf84,SCALAR,32,32,0.020000,"dtype:S64,XD:X2=0x27f,XN:X2=0x200,IMM:0x7f,"
SEL,0x1168d058,SCALAR,32,32,0.020000,"dtype:B64,XD:X14=0x1,XN:X8=0x1,XM:X11=0,"
SUB_IMM,0x1168d054,SCALAR,32,32,0.020000,"dtype:S64,XD:X3=0x1c7880,XN:X30=0x1c7c20,IMM:0x3a0,"
CMP,0x1168d050,SCALAR,32,32,0.020000,"dtype:U64,XN:X13=0x1,XM:X3=0x2,cond_op:LT,"
MOVK,0x1168cf78,SCALAR,32,32,0.020000,"XD:X3=0x80400010001,IMM:0x804,UIMM:0x2,"
ST_XD_XN_IMM,0x1168ba90,SCALAR,1,32,0.000000,"dtype:B32,XD:X4=0x20000,XN:X30=0x1c7c20,IMM:0xd04,"
MOV_XD_IMM,0x1168cf6c,SCALAR,32,32,0.020000,"XD:X3=0x1,IMM:0x1,"
SHL,0x1168cfc8,SCALAR,32,32,0.020000,"dtype:B64,XD:X0=0,DATA_SRC:IMM,IMM:0x2,"
ZEROEXT,0x1168d044,SCALAR,32,32,0.020000,"dtype:U32,XD:X13=0x1,XN:X8=0x1,"
MOV_XD_IMM,0x1168d048,SCALAR,32,32,0.020000,"XD:X3=0x2,IMM:0x2,"
OR,0x1168cfb0,SCALAR,32,32,0.020000,"dtype:B64,XD:X2=0x400080808010101,XN:X2=0x400000000000000,XM:X3=0x80808010101,"
SEL,0x1168d04c,SCALAR,32,32,0.020000,"dtype:B64,XD:X2=0x20,XN:X5=0x20,XM:X1=0x20,"
MOVK,0x1168cfac,SCALAR,32,32,0.020000,"XD:X3=0x80808010101,IMM:0x808,UIMM:0x2,"
MOVK,0x1168cfa8,SCALAR,32,32,0.020000,"XD:X3=0x8010101,IMM:0x801,UIMM:0x1,"
SHL,0x1168cf90,SCALAR,32,32,0.020000,"dtype:B64,XD:X2=0x4fe000000000000,DATA_SRC:IMM,IMM:0x31,"
MOVK,0x1168cf70,SCALAR,32,32,0.020000,"XD:X3=0x10001,IMM:0x1,UIMM:0x1,"
AND,0x1168cf94,SCALAR,32,32,0.020000,"dtype:B64,XD:X2=0x400000000000000,XN:X2=0x4fe000000000000,XM:X22=0xff00000000000000,"
MOV_XD_IMM,0x1168cfa4,SCALAR,32,32,0.020000,"XD:X3=0x101,IMM:0x101,"
ADD_IMM,0x1168cf98,SCALAR,32,32,0.020000,"dtype:S64,XD:X17=0x1,XN:X17=0,IMM:0x1,"
