instr,addr,pipe,call_count,cycles,running_time(us),detail
CMP,0x1168c140,SCALAR,1,1,0.000000,"dtype:U64,XN:X5=0x9,XM:X24=0xe,cond_op:GT,"
ZEROEXT,0x1168c13c,SCALAR,1,1,0.000000,"dtype:U32,XD:X1=0x8f,XN:X1=0x4000000008f,"
ADD_IMM,0x1168c138,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x4000000008f,XN:X3=0x40000000080,IMM:0xf,"
SIGNEXT,0x1168c130,SCALAR,1,1,0.000000,"dtype:S32,XD:X8=0,XN:X1=0,"
ADD,0x1168c12c,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x1168a400,XN:X0=0x1168a000,XM:X8=0x400,"
INSERT_XD,0x1168c120,SCALAR,1,1,0.000000,"XD:X6=0x1cf6e4,IMM:0x1,POSITION:0x2,EXT:0,"
MOVK,0x1168c260,SCALAR,1,1,0.000000,"XD:X3=0x1ffffe0000,IMM:0x1f,UIMM:0x2,"
ADD,0x1168c110,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x1cf560,XN:X10=0x1cf560,XM:X2=0,"
ADD,0x1168c10c,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1cf560,XN:X10=0x1cf560,XM:X0=0,"
SHL,0x1168c108,SCALAR,1,1,0.000000,"dtype:B64,XD:X0=0,DATA_SRC:IMM,IMM:0x2,"
SHL,0x1168c104,SCALAR,1,1,0.000000,"dtype:B64,XD:X8=0x400,DATA_SRC:IMM,IMM:0xa,"
MUL_IMM,0x1168c100,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0,XN:X4=0,IMM:0x60,"
SEL,0x1168c0f8,SCALAR,1,1,0.000000,"dtype:B64,XD:X3=0x40000000080,XN:X0=0x40000000080,XM:X15=0x200,"
SUB,0x1168c0f4,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x40000000080,XN:X1=0x40000000280,XM:X0=0x200,"
CMP,0x1168c0e4,SCALAR,1,1,0.000000,"dtype:S64,XN:X8=0x1,XM:X1=0x1,cond_op:EQ,"
SHL,0x1168c0e0,SCALAR,1,1,0.000000,"dtype:B64,XD:X0=0x200,DATA_SRC:IMM,IMM:0x9,"
MOV_XD_XN,0x1168c0dc,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x1,XN:X8=0x1,"
MOV_XD_IMM,0x1168c09c,SCALAR,1,1,0.000000,"XD:X15=0x200,IMM:0x200,"
SEL,0x1168c098,SCALAR,1,1,0.000000,"dtype:B64,XD:X1=0x1,XN:X1=0x1,XM:X11=0,"
CMP,0x1168c080,SCALAR,1,1,0.000000,"dtype:U64,XN:X2=0x1,XM:X3=0x2,cond_op:LT,"
SUB_IMM,0x1168c21c,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0xfffffffffffffffd,XN:X2=0x9,IMM:0xc,"
ADD_IMM,0x1168c248,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1cf6e0,XN:X1=0x1cf560,IMM:0x180,"
MOV_XD_IMM,0x1168c220,SCALAR,1,1,0.000000,"XD:X3=0x3,IMM:0x3,"
SHL,0x1168c25c,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0x1000000,DATA_SRC:IMM,IMM:0x11,"
MOV_XD_IMM,0x1168c250,SCALAR,1,1,0.000000,"XD:X3=0,IMM:0,"
MOVK,0x1168c254,SCALAR,1,1,0.000000,"XD:X3=0xfffe0000,IMM:0xfffe,UIMM:0x1,"
ADD,0x1168c24c,SCALAR,1,1,0.000000,"dtype:S64,XD:X4=0x1168aa00,XN:X3=0x1168a600,XM:X4=0x400,"
JUMP,0x1168cfb8,FLOWCTRL,1,0,0.000000,"TargetPC:0x1168cfbc"
NOP,0x1168c034,FLOWCTRL,1,0,0.000000,""
JUMPCMP,0x1168cfb4,FLOWCTRL,1,0,0.000000,"TargetPC:0,CMP_dtype:S64,XN:X2=0x41f,Condition_op:1,FC_type:IMM,IMM:0x2CMP_type:REG,XM:X0=0x41f,"
JUMPC,0x1168c62c,FLOWCTRL,1,0,0.000000,"TargetPC:0x1168c630,cond_flag:0"
JUMP,0x1168d0f8,FLOWCTRL,31,0,0.000000,"TargetPC:0x1168d0fc"
WAIT_FLAG,0x1168c04c,MTE3,1,0,0.000000,"PIPE:VEC,TRIGGERPIPE:MTE3,FLAGID:0,"
JUMP,0x1168ded0,FLOWCTRL,1,0,0.000000,"TargetPC:0"
JUMPC,0x1168c050,FLOWCTRL,1,0,0.000000,"TargetPC:0x1168c054,cond_flag:0"
JUMP,0x1168c63c,FLOWCTRL,1,0,0.000000,"TargetPC:0"
JUMPCMP,0x1168c860,FLOWCTRL,1,0,0.000000,"TargetPC:0,CMP_dtype:S64,XN:X0=0x1,Condition_op:0,FC_type:IMM,IMM:0x2CMP_type:IMM,UIMM:0,"
JUMP,0x1168c864,FLOWCTRL,1,0,0.000000,"TargetPC:0x1168c868"
WAIT_FLAG,0x1168bed4,MTE2,1,0,0.000000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:1,"
SET_FLAG,0x1168c040,VECTOR,1,0,0.000000,"PIPE:VEC,TRIGGERPIPE:MTE3,FLAGID:0,"
WAIT_FLAG,0x1168bee0,MTE2,1,0,0.000000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:3,"
MOV_SPR_XN,0x1168dd2c,SCALAR,32,0,0.000000,"SPR:CTRL,XN:X0=0,"
JUMPCMP,0x1168d5c0,FLOWCTRL,31,0,0.000000,"TargetPC:0,CMP_dtype:U64,XN:X23=0x9,Condition_op:3,FC_type:IMM,IMM:0x2CMP_type:REG,XM:X24=0xe,"
JUMP,0x1168cfe0,FLOWCTRL,1,0,0.000000,"TargetPC:0x1168d090"
JUMP,0x1168d5c4,FLOWCTRL,31,0,0.000000,"TargetPC:0x1168d5c8"
JUMP,0x1168d1d4,FLOWCTRL,31,0,0.000000,"TargetPC:0"
JUMPC,0x1168d0f4,FLOWCTRL,32,0,0.000000,"TargetPC:0x1168d0f8,cond_flag:0"
BAR,0x1168cffc,VECTOR,32,0,0.000000,"PIPE:VEC"
JUMP,0x1168de8c,FLOWCTRL,31,0,0.000000,"TargetPC:0x1168dc84"
JUMPCMP,0x1168d5e4,FLOWCTRL,31,0,0.000000,"TargetPC:0,CMP_dtype:S64,XN:X8=0,Condition_op:1,FC_type:IMM,IMM:0x2CMP_type:IMM,UIMM:0,"
JUMP,0x1168d5e8,FLOWCTRL,31,0,0.000000,"TargetPC:0x1168d5ec"
WAIT_FLAG,0x1168bec0,MTE2,1,0,0.000000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:2,"
JUMPCMP,0x1168c8a4,FLOWCTRL,1,0,0.000000,"TargetPC:0,CMP_dtype:U64,XN:X6=0x9,Condition_op:3,FC_type:IMM,IMM:0x2CMP_type:REG,XM:X24=0xe,"
END,0x1168e190,FLOWCTRL,1,0,0.000000,""
JUMP,0x1168d108,FLOWCTRL,1,0,0.000000,"TargetPC:0"
NOP,0x1168e188,FLOWCTRL,1,0,0.000000,""
JUMP,0x1168c8f4,FLOWCTRL,1,0,0.000000,"TargetPC:0"
JUMPCMP,0x1168c8e4,FLOWCTRL,1,0,0.000000,"TargetPC:0,CMP_dtype:S64,XN:X0=0,Condition_op:1,FC_type:IMM,IMM:0x5CMP_type:IMM,UIMM:0,"
JUMPC,0x1168bef0,FLOWCTRL,1,0,0.000000,"TargetPC:0x1168bef4,cond_flag:1"
JUMP,0x1168c8cc,FLOWCTRL,1,0,0.000000,"TargetPC:0x1168c8d0"
JUMPCMP,0x1168c8c8,FLOWCTRL,1,0,0.000000,"TargetPC:0,CMP_dtype:S64,XN:X6=0,Condition_op:1,FC_type:IMM,IMM:0x2CMP_type:IMM,UIMM:0,"
