M,N,K,time_us,Tflops,utilization_ratio
8214,4938,6139,18166.119141,13.706963596094361,10.926075
4681,9293,6434,22112.261719,12.657340659165161,10.091889999999996
4010,2561,8780,8597.540039,10.487555206603906,8.456834999999998
4920,8216,6444,19287.900391,13.505047330166917,10.774260000000002
1964,8005,4602,5568.720215,12.992539191520505,10.41074
4021,3771,5254,6026.819824,13.218813211695574,10.598780000000005
8307,963,9246,5587.379883,13.237811323880589,10.727499999999997
4415,4607,8077,12263.920898,13.395831076486449,10.651340000000005
1603,2180,5234,1467.660034,12.462301852119522,10.15606
9426,5755,7139,28836.380859,13.429795280607545,10.690749999999998
2343,9545,7566,13807.65918,12.254469059830893,9.818254999999997
8944,718,6766,3171.959961,13.698106283252672,10.99802
3815,1903,4514,2630.659912,12.457479425793597,9.952095
5383,8154,2318,7799.5,13.04493009500609,10.435675000000003
2402,9128,3981,6767.660156,12.897402990694737,10.334025000000002
8587,6801,7563,33683.121094,13.112817338048785,10.472975
1649,4956,8921,5682.860352,12.82916848349822,10.28689
2851,5782,2972,3831.420166,12.786872329679126,10.289330000000001
2666,5425,9132,9961.240234,13.259049023754322,10.589629999999994
4146,1291,2695,1222.900024,11.79569015201851,9.616120000000002
1926,4258,6802,4550.47998,12.258613698153221,9.930245
3625,4523,3305,4168.939941,12.99811646171182,10.418179999999996
2767,9252,998,2198.780029,11.619663220071933,9.371485
8185,2096,3987,5044.279785,13.559916982281347,10.857465000000003
8478,9451,1588,10065.560547,12.64106626450359,10.115594999999999
6000,8127,7398,26071.878906,13.836412684357072,10.996199999999998
8249,1077,7802,5275.839844,13.1380632838634,10.632909999999999
3639,712,2769,639.859985,11.21243797109769,9.191685000000001
6380,2440,8918,10240.160156,13.557238117868359,10.873529999999999
8989,2218,9028,13279.480469,13.554496448576385,10.865135000000004
4361,9728,9319,34407.160156,11.490267286213633,9.160640000000003
2231,1937,3632,1252.640015,12.52993303427242,10.168265000000002
3087,1168,4795,1450.160034,11.922083297463153,9.64224
4368,9823,7661,24881.019531,13.211254655157962,10.51641
4934,1035,6435,2603.800049,12.620612002300486,10.264494999999997
1618,6609,7204,5941.479492,12.96562244331988,10.4404
1783,8237,5101,5692.419922,13.160694343975699,10.507109999999997
9146,5110,9980,39199.980469,11.898625285511491,9.462799999999998
7084,8316,2963,13112.939453,13.31142742614172,10.635600000000005
2025,7063,6700,7363.419922,13.013960023343621,10.39944
2001,7167,8852,9824.339844,12.921785310748456,10.35658
