M,N,K,time_us,Tflops,utilization_ratio
1964,8005,4602,5493.779785,13.16976989823046,10.55291
4021,3771,5254,5997.02002,13.284498842476767,10.650035000000004
8307,963,9246,5570.879883,13.277019472580863,10.760224999999997
4415,4607,8077,12208.880859,13.45622212079283,10.69932
1603,2180,5234,1473.23999,12.415100380217075,10.114695
9426,5755,7139,28975.900391,13.365130551397332,10.639425000000005
2343,9545,7566,13829.959961,12.23470875455559,9.802625000000003
8944,718,6766,3155.859863,13.76798925117544,11.053804999999999
3815,1903,4514,2625.040039,12.48414928653208,9.971055
5383,8154,2318,7812.839844,13.022656845338501,10.418285000000001
2402,9128,3981,6786.200195,12.862167019521593,10.3051
8587,6801,7563,33678.917969,13.114453816109771,10.474540000000001
1649,4956,8921,5640.640137,12.925194863215575,10.363484999999999
2851,5782,2972,3874.360107,12.64515407731045,10.175130000000003
2666,5425,9132,10128.919922,13.039551464231627,10.414979999999998
4146,1291,2695,1226.560059,11.760492007020424,9.584750000000003
1926,4258,6802,4579.820312,12.180079657238744,9.867339999999999
3625,4523,3305,4221.680176,12.835734734965865,10.287354999999998
2767,9252,998,2205.939941,11.581948790690126,9.341744999999998
8185,2096,3987,5075.200195,13.477303848503654,10.791120000000001
8478,9451,1588,10109.160156,12.586546844693197,10.071535
6000,8127,7398,26404.841797,13.661936654397445,10.857494999999998
8249,1077,7802,5296.419922,13.087013259293453,10.590709999999996
3639,712,2769,629.559998,11.395880320845926,9.337765000000001
6380,2440,8918,10239.800781,13.557713921309539,10.874589999999994
8989,2218,9028,13316.878906,13.51643069870534,10.834955
4361,9728,9319,35232.796875,11.221007181309671,8.946100000000005
2231,1937,3632,1251.540039,12.540945566983973,10.176419999999995
3087,1168,4795,1446.52002,11.952083953874348,9.668939999999997
4368,9823,7661,24854.279297,13.225468386189592,10.52783
4934,1035,6435,2612.0,12.580991634762633,10.229129999999998
1618,6609,7204,5945.180176,12.957551759151261,10.433374999999998
1783,8237,5101,5667.919922,13.21758241153217,10.553479999999997
9146,5110,9980,39575.738281,11.785651994366646,9.372899999999998
7084,8316,2963,13149.540039,13.274376240864648,10.605650000000002
