block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
10,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.561667,6411,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
11,cube0,1.653889,2977,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.440556,6193,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.714444,6686,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
12,cube0,1.611667,2901,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.738889,6730,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.747778,8546,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
13,cube0,3.902778,7025,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.211667,7581,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.086111,9155,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
14,cube0,1.996111,3593,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.973333,8952,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.050556,7291,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
15,cube0,1.526111,2747,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.863333,6954,0.000045,0.000000,0.000000,0.000000,0.000000,0.000004,128,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.401111,7922,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
16,cube0,1.997222,3595,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.053333,9096,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.707778,8474,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
17,cube0,2.161111,3890,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.845000,8721,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.153889,9277,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
18,cube0,3.504444,6308,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.378889,7882,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.926667,8868,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
19,cube0,1.835000,3303,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.746666,8544,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.875556,8776,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
