block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.053333,9096,24,0,15,0,13,0,100.000000,100.000000,100.000000,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.707778,8474,24,0,13,0,15,0,100.000000,100.000000,100.000000,
17,cube0,2.161111,3890,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.845000,8721,24,0,13,0,15,0,100.000000,100.000000,100.000000,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.153889,9277,24,0,15,0,13,0,100.000000,100.000000,100.000000,
18,cube0,3.504444,6308,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.378889,7882,24,0,15,0,13,0,100.000000,100.000000,100.000000,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.926667,8868,24,0,13,0,15,0,100.000000,100.000000,100.000000,
19,cube0,1.835000,3303,11,0,6,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.746666,8544,24,0,14,0,14,0,100.000000,100.000000,100.000000,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.875556,8776,24,0,14,0,14,0,100.000000,100.000000,100.000000,
